from_comp,to_comp,weight
1,0,6
2,1,8
2,0,6
3,2,8
4,3,7
4,1,6
4,0,5
5,4,4
5,0,1
6,5,3
6,3,4
6,0,9
6,1,2
7,6,5
7,3,3
7,0,5
7,5,2
8,7,5
8,6,5
8,1,7
9,8,4
9,4,5
9,5,3
9,2,2
10,9,7
10,3,6
11,10,6
11,6,6
11,4,7
11,3,8
11,9,6
12,11,7
12,2,5
12,8,4
12,9,7
12,6,4
13,12,6
13,10,4
13,0,1
13,8,8
13,3,5
13,9,9
13,4,3
13,2,1
13,5,1
13,11,2
14,13,2
14,0,2
14,1,3
14,3,7
15,14,3
15,8,7
15,10,5
15,4,4
15,13,5
15,2,5
15,5,2
15,12,4
15,0,4
16,15,8
16,2,5
16,0,9
16,4,9
16,5,3
16,14,5
16,8,5
16,10,5
16,13,8
17,16,2
17,8,9
17,1,6
17,15,3
17,4,9
17,6,2
17,0,4
17,2,1
18,17,8
18,7,3
18,12,2
18,8,6
18,9,9
18,2,9
18,14,1
18,15,9
18,13,2
18,3,7
18,0,3
18,16,6
19,18,7
19,9,6
19,6,7
19,14,4
19,15,6
19,13,2
19,7,1
19,4,8
19,1,4
19,8,4
20,19,2
20,6,2
20,17,8
20,1,8
20,15,2
20,9,5
20,0,1
20,2,2
20,16,7
20,11,4
20,5,5
21,20,7
21,1,3
21,4,5
21,0,6
21,8,1
21,14,8
21,3,7
